ABA_Col_rna	ABA_g7g8_rna	Mock_Col_rna	Mock_g7g8_rna	ABA_Col_ribo	ABA_g7g8_ribo	Mock_Col_ribo	Mock_g7g8_ribo
AT1G10410	20.1407054861198	16.3428106341358	13.7765566844252	12.9696354106524	10.1897327492288	10.6734400199202	7.30130659800985	8.46937181970726
AT1G73740	12.0819451168751	9.2614148072706	5.13207119690509	5.93796014017972	3.69399102902867	6.42714125897454	2.55661744560207	2.67739510855121
AT1G53350	3.80444344275766	3.8585698313179	3.1821445986484	3.65897714474078	1.01623595224459	1.37006407651653	1.48687162812708	1.43490903524415
AT1G34110	7.60352244911958	7.23963097747006	7.98904854223706	6.65967853285547	2.04504626897728	1.15153448220621	2.17575534739738	2.06214361117019
AT1G61730	28.3312609328509	23.5455613261485	36.0994936598242	30.7225231532753	17.3642767197666	13.9216594575588	24.1273702327837	30.884084673904
AT1G29260	21.9916430774728	20.9268063243833	19.1625930560073	16.0352914967055	9.98827825364772	16.2639268520519	11.8368447589112	8.85996103690493
AT1G08040	7.98255350276743	8.80369043745824	5.98604007984322	6.96694239189446	7.72739257934084	10.517533615289	7.25011718967652	7.81646322363351
AT1G08810	9.52678409018312	8.27881621369803	10.5773719632046	12.120919681566	5.9953695142567	4.33986713894436	7.17665942977855	7.2830569563732
AT1G09210	49.4915006610985	48.4210809289288	57.3530574791027	55.5279383695507	113.305867716635	108.667787105159	158.478511924253	164.475547993673
AT1G10522	12.7631193939975	6.32126320394153	18.6858965357316	16.2673861324294	12.5719036073846	7.39820874908454	20.5431407552276	17.9082640395838
AT1G01830	8.20893034146583	9.91410016717742	5.65065472417756	5.7562013289992	3.24257358236422	3.93778873882315	2.07723578357966	2.54272994011381
AT1G67590	22.2344338360211	19.0166960187912	19.5399200547486	19.1350176017024	10.763170082843	13.6779514777105	11.2310027571422	19.0086573656423
AT1G05760	4.16891078196829	5.52653227493286	5.24428666179267	6.25167024129085	7.40782941420605	4.48895775875072	6.26302884698379	4.07494887099919
AT1G30530	47.6151067959077	36.8239230651589	51.5771495045976	41.7145875887124	34.4877201328118	32.0455606014128	49.86590290302	47.5871503916225
AT1G76850	23.7037645074391	21.2794373574125	20.1555134684816	19.6229406270868	7.76049737124791	8.08808411903948	9.49370100068524	7.62137906736085
AT1G67340	13.7741526223414	13.350487347848	15.6175851258521	11.798931693354	7.92681053588104	7.48387955766414	5.54532711044727	6.6487558886469
AT1G66150	34.5090309446466	45.3214440057249	40.4886941704397	43.2495750011043	26.6536532823663	26.0943499713959	29.3290989337869	37.8933971193121
AT1G04640	13.916921424503	14.6853642675337	18.7169229682262	17.5340171905153	8.55834981314924	7.11678369366041	11.7801055052986	10.3545654002504
AT1G56500	23.5283575724287	21.1019806652606	20.8202141056231	23.7461982536025	22.5171255672808	24.23737754726	27.640005361445	28.9821893205424
AT1G77120	108.054769530899	104.404019342018	21.8978012622609	26.1346553915282	240.497900510104	236.359618732969	60.0516810919807	75.3532358697829
AT1G50590	2.46060982922309	1.95817598833548	1.12795385910354	1.56037236033904	4.58818811880823	1.71913688884142	1.33931146012558	1.43357049961571
AT1G17147	1.71012175308633	3.27355634189892	3.38652868852596	3.98982679093895	2.22420692499667	2.48750498967487	3.729212919296	3.69633114852407
AT1G68500	10.7938646490685	14.1851520141341	4.33594850373983	4.56545184316392	16.6300860171579	17.9244184071463	9.57642310157672	11.004208319873
AT1G15500	129.778314006037	123.401678577461	201.994660389317	165.039984980619	39.4772600973081	31.5666602118534	84.7063049742788	65.5301720966445
AT1G77760	126.275505730814	196.577075297111	193.804379664846	277.443228798688	164.787623498955	234.874804857344	233.956314302169	280.470143020072
AT1G53510	25.9313358650847	22.7707736546888	26.5005448077756	23.6179206593354	4.6649101761483	3.3290679278234	4.84608509144549	4.5833358770307
AT1G50020	30.2266446723188	32.2845547826909	23.1569624463604	23.1654005063972	25.305595981741	32.4567033236017	12.9935985372091	16.0973261653178
AT1G22370	6.99233970236732	8.89401992492721	1.78573046158099	2.55554351524441	4.75349103724456	7.13545704989753	1.13098120516036	1.48545675470501
AT1G17270	2.81303389867451	3.62965933415017	3.19262978240279	3.39825058342379	1.77259370329153	1.79270855547001	1.45608763803402	1.16091307626558
AT1G75230	4.43550148924855	3.95294019805148	3.82031783644905	3.79804458781645	5.17163221083269	4.13815740333257	5.01475948417462	2.23675288003607
AT1G29150	51.3764444235232	44.2673170302818	50.7757895523463	44.9561850595103	42.5507894804409	44.0172794399639	44.6121994643978	42.2187360125537
AT1G17140	36.0219350838341	28.7817718401587	33.6760803258047	30.5165295245119	21.6066535931885	28.154376875587	29.160224997697	34.2544049863161
AT1G08380	1376.13416491103	1757.76525586297	1301.30929547392	1730.94520098929	5095.53278031562	6654.5212917569	4188.29415846616	6555.13961608398
AT1G43560	27.7514259304391	21.1902800237001	30.3995351554391	28.8378984740262	22.7823316522852	28.1060390711972	19.2420649692632	16.4903304649104
