log2FC_TE_v1	pvalue_v1	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT1G53350	-0.445610278712191	0.175504437884266	-0.440980189469534	0.287979369999026	-0.440980189469534	0.287979369999026	0.613546907390682
AT1G34110	0.0392640843585337	0.86137509048856	0.0411722666519267	0.885742074844933	0.0411722666519267	0.885742074844933	0.968949985994188
AT1G61730	0.442717613989521	0.00139501484826985	0.443506374664513	0.00189360109170454	0.443506374664513	0.00189360109170454	0.0223734684875814
AT1G29260	-0.294992152708323	0.149407476098805	-0.293973188418522	0.221769789709859	-0.293973188418522	0.221769789709859	0.539709651910054
AT1G08040	-0.288134054604584	0.249807780909955	-0.286151398011961	0.294763845437601	-0.286151398011961	0.294763845437601	0.620378719417063
AT1G08810	-0.293490038920956	0.274527154196644	-0.290821306708853	0.356261286711124	-0.290821306708853	0.356261286711124	0.676096088173847
AT1G09210	-0.0414351197524019	0.589120100369319	-0.0413419780950148	0.435906358403935	-0.0414351197524019	0.589120100369319	0.838159656346546
AT1G10522	-0.135366515685972	0.438999991150994	-0.13446191280598	0.441469017035016	-0.13446191280598	0.441469017035016	0.744976336386461
AT1G04570	-0.331730379157452	0.789952746390265	-0.497524781177553	0.699579233682205	-0.331730379157452	0.789952746390265	0.934022965539919
AT1G01830	0.211331121337818	0.421591207253565	0.215367322452399	0.532045117995327	0.215367322452399	0.532045117995327	0.804069315673619
AT1G67590	0.635627757188432	2.14908274577638e-05	0.637020427091502	0.000310617771447725	0.637020427091502	0.000310617771447725	0.00542401191537736
AT1G69080	0.327481268763096	0.576812594853314	0.326327467259812	0.542190886451941	0.327481268763096	0.576812594853314	0.831271884069448
AT1G73300	-2.72615920126918	0.0426000013961215	-2.77608901171678	0.0693482951493187	-2.77608901171678	0.0693482951493187	0.283147248403195
AT1G30530	0.0990995067672156	0.297383913245244	0.0995194200229095	0.280778551262351	0.0990995067672156	0.297383913245244	0.622803083997865
AT1G12480	0.937335823145087	0.408721003101815	0.222921897566671	0.879873298577603	0.222921897566671	0.879873298577603	0.967403913847311
AT1G76850	-0.386341573406153	0.00705438186315775	-0.385417963275841	0.0254322933341676	-0.385417963275841	0.0254322933341676	0.148079861331168
AT1G73570	-1.2737101005145	0.0872786909960694	-1.29261899298839	0.164578213567926	-1.29261899298839	0.164578213567926	0.462274780714842
AT1G44130	-1.88997306579404	0.187087067844637	-1.59132723458844	0.23323527499215	-1.59132723458844	0.23323527499215	0.553436325699079
AT1G67340	0.523733152423534	0.0199787923314253	0.52627590818105	0.0668966094884338	0.52627590818105	0.0668966094884338	0.276641271915873
