sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G03860	ABA-g7g8	ABA-Col0	NA	NA	1107.63226140202	-0.872914955097721	0.0959449910878409	-9.09807740039851	9.19449632534491e-20	6.6060036493307e-17
AT4G32480	ABA-g7g8	ABA-Col0	NA	NA	1052.1853531443	1.02281307209306	0.11255370079095	9.08733400061862	1.01497208240479e-19	6.92769194845387e-17
AT5G54190	ABA-g7g8	ABA-Col0	NA	NA	173.982200826496	-1.5613334952437	0.172430589183802	-9.05485217347019	1.36752894489352e-19	8.88958934606738e-17
AT4G24570	ABA-g7g8	ABA-Col0	NA	NA	252.526765937443	-1.37287100967597	0.154429841414636	-8.88993342931617	6.11455317360172e-19	3.79408024421987e-16
AT5G39890	ABA-g7g8	ABA-Col0	NA	NA	237.52192491674	1.38590707131047	0.156309894602805	8.86640653704086	7.55442953614741e-19	4.48371815643253e-16
AT4G24110	ABA-g7g8	ABA-Col0	NA	NA	282.156426350627	1.29265861849832	0.145886828149661	8.86069451844015	7.95174848586681e-19	4.52288827419033e-16
AT2G30020	ABA-g7g8	ABA-Col0	NA	NA	249.995932674365	-1.35024386903001	0.154749837832675	-8.7253330145003	2.6539845930461e-18	1.44918174718689e-15
AT4G29780	ABA-g7g8	ABA-Col0	NA	NA	308.710692052207	-1.17531532051946	0.136654774725353	-8.60061657473432	7.92889645181736e-18	4.16297559475995e-15
AT5G26200	ABA-g7g8	ABA-Col0	NA	NA	151.943797825281	1.47990734973713	0.176389347424903	8.39000410933087	4.86125179798678e-17	2.45781289978954e-14
AT1G15670	ABA-g7g8	ABA-Col0	NA	NA	365.730847889393	1.06116424313429	0.128329375503259	8.26906730413682	1.35011039990531e-16	6.58227038182405e-14
AT4G10265	ABA-g7g8	ABA-Col0	NA	NA	155.863168795366	1.54125877776188	0.188229681273105	8.18818141399096	2.65202868912038e-16	1.24837391845456e-13
AT3G13470	ABA-g7g8	ABA-Col0	NA	NA	1476.0277287051	-0.78245463205079	0.0961306691357766	-8.13949012406891	3.96945976824076e-16	1.80623650987515e-13
AT3G48360	ABA-g7g8	ABA-Col0	NA	NA	630.723409091258	0.948029465500142	0.11680490903695	8.11634950377163	4.80415831689481e-16	2.11553436077197e-13
AT2G40300	ABA-g7g8	ABA-Col0	NA	NA	161.164273923575	-1.79551637955638	0.222568754233509	-8.06724369617759	7.19029400675165e-16	3.06733448394271e-13
AT2G32230	ABA-g7g8	ABA-Col0	NA	NA	872.041508003624	-0.86410847208614	0.107655975439085	-8.02657231576597	1.00233758859627e-15	4.14633649149325e-13
AT5G62520	ABA-g7g8	ABA-Col0	NA	NA	138.173647998876	1.54357409360586	0.192586359783984	8.01497102565944	1.10162982557601e-15	4.42304374968767e-13
AT1G68520	ABA-g7g8	ABA-Col0	NA	NA	1561.78943329131	0.709151177698376	0.0886387679298641	8.00046293806223	1.23952298925137e-15	4.83449380750584e-13
