log2FC_TE_v1	pvalue_v1	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT1G33330	0.460849132857127	0.165585653978007	0.459919329763319	0.269710123547616	0.459919329763319	0.269710123547616	0.573930711610293
AT1G63430	-0.0429846917118848	0.836947512338312	-0.0424604891199531	0.856237505156758	-0.0424604891199531	0.856237505156758	0.956865269549719
AT1G80720	-0.648597256878997	0.251835402526041	-0.657332584687159	0.275175169862404	-0.657332584687159	0.275175169862404	0.579322358252189
AT1G69770	-0.0776248189822391	0.696999367932041	-0.0776248194064797	0.704712235996925	-0.0776248194064797	0.704712235996925	0.891311181057117
AT1G08460	0.146279547258919	0.6298794475479	0.14786954065216	0.675614333185978	0.14786954065216	0.675614333185978	0.87578314275415
AT1G08610	-0.441467450563087	0.224461361541436	-0.445722567389761	0.239622852249189	-0.445722567389761	0.239622852249189	0.538228443596038
AT1G27380	0.524385815574718	0.679291067969389	0.479114632589017	0.754289589615037	0.479114632589017	0.754289589615037	0.913947838591348
AT1G51440	-0.214334290659494	0.876235955354498	-0.0535835739231914	0.94824211166253	-0.0535835739231914	0.94824211166253	0.986851631529844
AT1G21610	-0.543663592728581	0.0160356479357042	-0.543188723576151	0.0213380617472222	-0.543188723576151	0.0213380617472222	0.117266773150981
AT1G79710	0.444959550904497	0.228837039485571	0.44533247240807	0.345283232581117	0.44533247240807	0.345283232581117	0.652548754086892
AT1G80840	1.36790823553272	3.47512025325154e-06	1.3668706120284	2.20036314989153e-05	1.3668706120284	2.20036314989153e-05	0.000483292290953805
AT1G49490	0.836694930564124	0.0242812077143306	0.839953105329739	0.0159366578492385	0.836694930564124	0.0242812077143306	0.128579607900656
AT1G09795	0.179408922410437	0.239196255551028	0.180349852980912	0.185616477616141	0.179408922410437	0.239196255551028	0.537890251259734
AT1G48690	-0.720538586347661	0.436592358831219	-0.746075516848201	0.482989552241255	-0.746075516848201	0.482989552241255	0.762119150288001
AT1G49570	0.0081754825884337	0.982985694733282	0.00901923331622267	0.978226815309967	0.0081754825884337	0.982985694733282	0.997127584027918
AT1G68470	0.443591899366914	0.425636488623497	0.453189376461032	0.425877488641543	0.453189376461032	0.425877488641543	0.722902002676809
AT1G75580	0.568962185617955	0.271781703440048	0.57587496628814	0.320427242094644	0.57587496628814	0.320427242094644	0.627621877882338
AT1G59970	0.0526916793796288	0.849071483593073	0.0537365115423065	0.827639133868101	0.0526916793796288	0.849071483593073	0.954605562818355
AT1G30640	-0.545008924016576	0.0360879765085676	-0.543046107946878	0.0457081570426624	-0.543046107946878	0.0457081570426624	0.198875690705612
AT1G26440	-1.33608949392575	0.000111250396833768	-1.3371409121027	0.000563153820992382	-1.3371409121027	0.000563153820992382	0.00726072779317558
AT1G22070	0.687390140570416	0.019181787941597	0.688259138901438	0.0644768818792583	0.688259138901438	0.0644768818792583	0.24776282829376
AT1G78180	-0.19639416164535	0.365775830967334	-0.196387284327288	0.403109996210624	-0.196387284327288	0.403109996210624	0.70405619285251
AT1G29880	-0.147820661018127	0.0823172537756621	-0.147634482914465	0.038796524805837	-0.147820661018127	0.0823172537756621	0.288588036982486
AT1G53645	-0.247992180352508	0.125558026462934	-0.247627484840674	0.116456290453531	-0.247992180352508	0.125558026462934	0.370300001145415
AT1G06240	0.229787360408169	0.500701432950667	0.229787357144417	0.571329051918931	0.229787357144417	0.571329051918931	0.81859451987856
AT1G72330	-0.622997430568077	0.0459159257093763	-0.62381933118246	0.0504695401241335	-0.62381933118246	0.0504695401241335	0.211530392716646
AT1G20840	-0.389317296547313	0.000590490033846619	-0.389094508949413	0.000376706597874033	-0.389317296547313	0.000590490033846619	0.00753402358974153
AT1G45050	0.389351858582136	0.299359481848744	0.392883368292588	0.286831206151444	0.389351858582136	0.299359481848744	0.606720860935384
AT1G52500	-1.18146839987637	0.000796503635207482	-1.18349240576032	0.00116608329696052	-1.18349240576032	0.00116608329696052	0.0130023916065399
AT1G10430	0.391801929171355	0.049926100444626	0.391801930388814	0.05812203095914	0.391801930388814	0.05812203095914	0.231921194861547
AT1G05670	-1.36750526650345	0.0432702936830622	-1.39856678872442	0.0760961452847772	-1.39856678872442	0.0760961452847772	0.275280749596884
AT1G64110	-0.587340823751057	0.00221756813665759	-0.584474722908446	0.0101864464251102	-0.584474722908446	0.0101864464251102	0.0694947672199502
AT1G65220	0.0285814945270122	0.825518398296242	0.0291474646626972	0.827003597147262	0.0291474646626972	0.827003597147262	0.945009464244857
AT1G13635	-0.934754711173973	0.248412002430927	-0.929874186750421	0.301266259808055	-0.929874186750421	0.301266259808055	0.60816945384918
AT1G55730	-0.0387044262552791	0.90117826450045	-0.0362339312559943	0.914017254162727	-0.0362339312559943	0.914017254162727	0.975226023134589
AT1G07310	-0.0731239186674147	0.59759502195153	-0.0724218645754482	0.565637914646639	-0.0731239186674147	0.59759502195153	0.832934117762652
AT1G77230	0.0398536744212361	0.967076808167821	0.0442669281897548	0.966007144507421	0.0398536744212361	0.967076808167821	0.993483324598872
AT1G52400	-0.520619655799319	3.42061296650881e-05	-0.519833734312111	3.29748069226616e-06	-0.520619655799319	3.42061296650881e-05	0.000700387447449083
AT1G16430	0.403778778857653	0.597248946934839	0.398119773900778	0.666309580810916	0.398119773900778	0.666309580810916	0.871255727414207
AT1G27752	-0.443330142126162	0.0150019830092532	-0.442882109845453	0.0183002564916288	-0.442882109845453	0.0183002564916288	0.105715388525526
AT1G11190	-0.43088879309239	0.333642369160933	-0.423213362471436	0.326594388578815	-0.43088879309239	0.333642369160933	0.641001058166255
AT1G26650	-0.0409060482045938	0.878920338694062	-0.039805938798974	0.890070723740318	-0.039805938798974	0.890070723740318	0.967789656408959
AT1G34640	0.470736445033304	0.118621070459062	0.471700380019175	0.0106689321120565	0.470736445033304	0.118621070459062	0.357794675811695
