sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT3G27690	Mock-g7g8	Mock-Col0	NA	NA	5816.02685717303	0.804367667380232	0.0795917970699776	10.1061629086353	5.18764016353272e-24	3.90936077631797e-21
AT1G23390	Mock-g7g8	Mock-Col0	NA	NA	1648.05901984487	0.810182329145087	0.0801688502926825	10.1059492082929	5.1989637293942e-24	3.90936077631797e-21
AT5G20790	Mock-g7g8	Mock-Col0	NA	NA	336.029023157943	-1.2544892923904	0.124480592748584	-10.0777901574113	6.9266395656732e-24	4.96046344895996e-21
AT5G11330	Mock-g7g8	Mock-Col0	NA	NA	251.765064029049	-1.389758406792	0.138053375931089	-10.0668194270433	7.74419892662072e-24	5.2938639844295e-21
AT3G48360	Mock-g7g8	Mock-Col0	NA	NA	928.7140036473	0.917000472473063	0.0916924920626436	10.0008239698249	1.5113424695565e-23	9.88220843463488e-21
AT1G77760	Mock-g7g8	Mock-Col0	NA	NA	5827.78159068993	0.630228153784534	0.064584337591805	9.75821967498979	1.70115228334713e-22	1.0659845495524e-19
AT2G05100	Mock-g7g8	Mock-Col0	NA	NA	18145.9925989076	0.649954765994318	0.0667472362352242	9.73755323297297	2.08514337690167e-22	1.25433884980897e-19
AT4G10265	Mock-g7g8	Mock-Col0	NA	NA	82.030552217957	2.68528834151489	0.275994867454474	9.72948651647602	2.25729520161877e-22	1.30567163604403e-19
AT1G33055	Mock-g7g8	Mock-Col0	NA	NA	120.11363054264	2.03536239223864	0.211898406076268	9.60536905363062	7.58855863825686e-22	4.22682716150907e-19
AT3G27220	Mock-g7g8	Mock-Col0	NA	NA	237.74063257145	1.45082479489194	0.15139830131522	9.58283403636901	9.44178725877605e-22	5.07125137802618e-19
AT3G13310	Mock-g7g8	Mock-Col0	NA	NA	328.206939403071	1.09826897536425	0.121009179727272	9.07591455325544	1.12726784498639e-19	5.84585555887944e-17
AT5G03860	Mock-g7g8	Mock-Col0	NA	NA	870.125819843482	-0.928809709524713	0.1027796377362	-9.0369039041434	1.61171953385565e-19	8.07955002321838e-17
AT1G03610	Mock-g7g8	Mock-Col0	NA	NA	255.066778723164	1.31101877997419	0.145893301522537	8.98614786486053	2.56047424185933e-19	1.24216039107492e-16
AT4G36040	Mock-g7g8	Mock-Col0	NA	NA	752.69006047303	0.828366204095905	0.0937887908854443	8.83225166115735	1.02589307322793e-18	4.82137685258587e-16
AT5G43500	Mock-g7g8	Mock-Col0	NA	NA	230.682552855812	1.29019319723689	0.146672948686315	8.79639503257128	1.41281601830072e-18	6.43858790885593e-16
