sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G11110	ABA-Col0	Mock-Col0	NA	NA	548.564390747964	2.36714122610731	0.14792257925356	16.002568627807	1.22610290233201e-57	2.66766928098394e-55
AT5G05390	ABA-Col0	Mock-Col0	NA	NA	170.217553227883	4.09217958080908	0.256245232770544	15.969778389881	2.07521884626242e-57	4.46494863766949e-55
AT1G52000	ABA-Col0	Mock-Col0	NA	NA	396.447994218035	2.07691611893633	0.131003747468247	15.8538679928964	1.3218805786365e-56	2.81284566205683e-54
AT1G73480	ABA-Col0	Mock-Col0	NA	NA	317.379870719015	2.64591176916901	0.16694417097213	15.8490814849159	1.42650616954594e-56	3.00248537685736e-54
AT3G55090	ABA-Col0	Mock-Col0	NA	NA	215.901204158118	2.90260535158063	0.183525068550599	15.8158521585315	2.41914171183017e-56	5.03701721590102e-54
AT2G39350	ABA-Col0	Mock-Col0	NA	NA	544.705923267741	2.46721197904616	0.156535244970728	15.761383192057	5.73636223006011e-56	1.18169061939238e-53
AT5G20790	ABA-Col0	Mock-Col0	NA	NA	263.143992621588	-2.4436487549272	0.15576283954703	-15.6882653271699	1.81960365987295e-55	3.70892687050314e-53
AT3G14310	ABA-Col0	Mock-Col0	NA	NA	1578.03955814306	-1.41300014040247	0.0912731374353684	-15.4810076667193	4.66114266417583e-54	9.40191318219799e-52
AT1G19570	ABA-Col0	Mock-Col0	NA	NA	2401.27852724981	1.47924706429355	0.0965598510320909	15.3194837034487	5.66658194931436e-53	1.13121332852086e-50
AT1G68850	ABA-Col0	Mock-Col0	NA	NA	168.278713954399	2.91287863835885	0.191303733495262	15.2264599604952	2.36030215348009e-52	4.66376437754984e-50
AT1G01470	ABA-Col0	Mock-Col0	NA	NA	1020.91330727751	1.49871818828623	0.0989737158934674	15.1425878553394	8.48096518044014e-52	1.65884252276811e-49
