sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT4G12480	ABA-g7g8	Mock-g7g8	NA	NA	1558.67153961477	-3.10137325778158	0.122057459425573	-25.4091251151488	1.99934772562304e-142	1.92037349046093e-139
AT3G22600	ABA-g7g8	Mock-g7g8	NA	NA	1796.74547450306	2.28261637886839	0.090094197863513	25.3358865831339	1.28577109661715e-141	1.17617441742931e-138
AT2G41190	ABA-g7g8	Mock-g7g8	NA	NA	492.657965448925	3.90703264522243	0.15859019133629	24.6360295822935	5.19545100794713e-134	4.53657335739384e-131
AT1G02205	ABA-g7g8	Mock-g7g8	NA	NA	460.548782077507	3.77080121057048	0.154692898594367	24.3760459906967	3.07028347631024e-131	2.56435415564868e-128
AT4G33610	ABA-g7g8	Mock-g7g8	NA	NA	461.081625603868	3.73928190979514	0.153598340333463	24.3445463126564	6.62201784274444e-131	5.30037344829669e-128
AT3G22620	ABA-g7g8	Mock-g7g8	NA	NA	1508.6443177794	2.7462204168825	0.113717428128149	24.1495121907591	7.55526404761165e-129	5.80546489418479e-126
AT1G55990	ABA-g7g8	Mock-g7g8	NA	NA	484.838140684096	4.06955782757946	0.168820245743779	24.1058636637449	2.16972491512452e-128	1.60309290844392e-125
AT3G11410	ABA-g7g8	Mock-g7g8	NA	NA	695.766456307877	2.74277300497682	0.114030270041679	24.0530256042919	7.76090024153475e-128	5.52173680147713e-125
AT1G52690	ABA-g7g8	Mock-g7g8	NA	NA	1454.36021802082	6.52914839354566	0.272328668451448	23.9752517818729	5.04003052205769e-127	3.45782094031172e-124
AT1G20450	ABA-g7g8	Mock-g7g8	NA	NA	2517.72159063044	2.19192691551808	0.0920352391600076	23.8161701487765	2.27105598308039e-125	1.50437880810256e-122
AT5G41040	ABA-g7g8	Mock-g7g8	NA	NA	980.568736412491	2.65484792089962	0.111489822862245	23.812468732504	2.48071421448248e-125	1.58848400200695e-122
AT2G33380	ABA-g7g8	Mock-g7g8	NA	NA	371.222167190332	5.32732127249106	0.226115414336669	23.5601862355083	9.87133995313645e-123	6.11704646773391e-120
AT2G47770	ABA-g7g8	Mock-g7g8	NA	NA	378.561840781142	5.58357633885498	0.237720477174414	23.4879906233671	5.41105721786189e-122	3.24832528609772e-119
AT5G13580	ABA-g7g8	Mock-g7g8	NA	NA	494.510712708633	3.9679539299469	0.169708572823015	23.3809869704401	6.67243532750065e-121	3.88416614064507e-118
AT3G50970	ABA-g7g8	Mock-g7g8	NA	NA	1531.80838366089	2.5507099023689	0.113406749828284	22.4916938915106	5.00520732019601e-112	2.82794213591075e-109
AT1G27020	ABA-g7g8	Mock-g7g8	NA	NA	467.347225215635	-3.0681082800595	0.136688951533824	-22.4459127503095	1.40294100215585e-111	7.70014190040397e-109
AT4G34000	ABA-g7g8	Mock-g7g8	NA	NA	1325.80098216189	2.10531002792203	0.0965908675285647	21.7961602560349	2.52316650242645e-105	1.34638968087811e-102
AT1G58270	ABA-g7g8	Mock-g7g8	NA	NA	3017.04428599445	1.81391805957394	0.0833643383390772	21.758921089207	5.68706885683286e-105	2.95266466864214e-102
AT5G17460	ABA-g7g8	Mock-g7g8	NA	NA	602.931947771913	2.84340920495954	0.1318958995237	21.5579803104388	4.45634699997691e-103	2.2528006807778e-100
AT1G73260	ABA-g7g8	Mock-g7g8	NA	NA	848.635641289605	2.85102383468011	0.132574814226178	21.5050185159313	1.39729798993185e-102	6.88258830425408e-100
AT4G26080	ABA-g7g8	Mock-g7g8	NA	NA	1727.95340105545	2.0726731429084	0.0986390593720058	21.0127018252633	5.01959627881614e-98	2.41066111290145e-95
AT3G57010	ABA-g7g8	Mock-g7g8	NA	NA	1174.83984011378	2.12416020637348	0.102921129210917	20.6387184308912	1.23288292967846e-94	5.77650758027397e-92
AT5G11110	ABA-g7g8	Mock-g7g8	NA	NA	509.719775522032	2.70250604162562	0.131819879504943	20.5015059319962	2.08733057752366e-93	9.54705247481656e-91
AT5G61820	ABA-g7g8	Mock-g7g8	NA	NA	1003.10229785736	1.93768851331501	0.0963224997469751	20.1166759418104	5.27266760526396e-90	2.35553359760746e-87
AT4G27410	ABA-g7g8	Mock-g7g8	NA	NA	461.327207333186	2.66483573787998	0.134763766100277	19.7741263471153	4.973678553742e-87	2.17146284130418e-84
AT2G38310	ABA-g7g8	Mock-g7g8	NA	NA	1185.13556408848	-2.20078437566226	0.112285241402013	-19.5999433957916	1.54796001399667e-85	6.60806930419467e-83
