mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT4G23600	0.482752522856104	-0.901409541394457	-1.38476337564684	2.2945165663482e-42	1.76573950554659	0.381577474419881	-1.3841927693135	5.37518378773372e-58	-1.38476337564684	2.2945165663482e-42	4.39399196433533e-39
AT4G38770	0.505864780254131	-0.54132740685336	-1.04733396261598	1.11733564247012e-37	0.281859480880385	-0.765332617410871	-1.04709319063055	3.86925602533333e-195	-1.04733396261598	1.11733564247012e-37	1.79900349568044e-34
AT1G28350	0.0340032533449081	-1.87410025984348	-1.90898492183473	9.76149458937691e-37	4.09957172875315	2.19146833762511	-1.90851773766159	6.23473750323065e-91	-1.90898492183473	9.76149458937691e-37	1.45078336124116e-33
AT4G33500	0.0144128014571608	-1.82682276953283	-1.84300272703279	1.08942033715254e-36	1.53425453185686	-0.306981080856483	-1.84174754407859	8.64451483330451e-38	-1.84300272703279	1.08942033715254e-36	1.50347788100887e-33
AT5G14740	-0.168961716728706	0.771652907288424	0.940466050935819	3.32222511886534e-36	0.408669454153472	1.34928411415481	0.940722234488174	5.62407737732611e-157	0.940466050935819	3.32222511886534e-36	4.27924743477315e-33
AT5G54080	0.564068172067281	-2.13458439252199	-2.70249729990082	1.56799405649485e-41	1.13177838610199	-1.56687423734148	-2.700187493791	2.60120930306096e-35	-2.700187493791	2.60120930306096e-35	3.14112280902755e-32
AT4G39260	-0.703431903596972	-4.92732250650254	-4.22530135080627	3.53886988172014e-40	1.27964789296677	-2.94424329050352	-4.22918757673688	5.44107882860349e-35	-4.22918757673688	5.44107882860349e-35	6.18394612043811e-32
AT1G72520	0.10019847966176	-6.50787924342694	-6.64745396106024	1.08347738227294e-34	7.31526571494327	0.707189062223592	-6.60923816964124	2.21092283486743e-262	-6.64745396106024	1.08347738227294e-34	1.16299258349419e-31
AT5G06290	-0.238025571572312	0.865577728842436	1.10345085198446	1.67642263043956e-33	1.31020985383624	2.41381318696397	1.10376673357486	4.08630285716677e-91	1.10345085198446	1.67642263043956e-33	1.70474534961699e-30
AT3G50820	0.0940716991592062	0.900480016344521	0.806255487393799	3.34944553486089e-32	0.736662882535556	1.54307123370099	0.806497642049254	4.3099808557852e-173	0.806255487393799	3.34944553486089e-32	3.23573185895236e-29
AT5G42650	0.599150764912065	-0.239822611226689	-0.839334672196565	1.05828818822703e-31	1.89714686162207	1.05817351390364	-0.838917527004064	4.54496397984977e-61	-0.839334672196565	1.05828818822703e-31	9.73675527844501e-29
AT2G05520	0.495605423938405	-0.436324722752868	-0.932096696666724	1.1456313118426e-30	2.66808243588198	1.73615237089932	-0.93187156211688	6.12477967810965e-191	-0.932096696666724	1.1456313118426e-30	1.00612466255049e-27
AT2G37170	0.463597466676413	-0.370393761708315	-0.83445563865415	1.9358421134617e-30	0.830709594919416	-0.00328160471452326	-0.834019793829298	3.74343069916917e-51	-0.83445563865415	1.9358421134617e-30	1.62619154235624e-27
AT1G32060	-0.0633973470695228	0.730828776237399	0.793980817770263	4.1913360652368e-30	-0.84525009376524	-0.0510239442812888	0.794383354712016	3.95185108354375e-73	0.793980817770263	4.1913360652368e-30	3.37420017151834e-27
AT2G17220	-0.306675819789278	-2.80642336903381	-2.50511432179418	3.24613302290013e-29	1.7030334341625	-0.796714156336454	-2.50189818197131	8.94569237395769e-32	-2.50511432179418	3.24613302290013e-29	2.50874144541814e-26
AT1G64790	0.425895108942087	-0.865328127893596	-1.29240447740087	3.83081540666337e-29	1.65980463354823	0.368581436056639	-1.29127598797475	1.49511407086152e-39	-1.29240447740087	3.83081540666337e-29	2.84673786431319e-26
AT4G38550	0.468206000439212	-0.727858385506022	-1.19688991663424	5.94175975042266e-29	2.18910286931534	0.993038530389732	-1.19599631739022	5.3097916678096e-48	-1.19688991663424	5.94175975042266e-29	4.25187926436726e-26
AT1G56340	0.155787824249445	-0.742866310549201	-0.899011593460775	1.50877888158184e-28	1.90313897293347	1.00448487402468	-0.898733558508596	7.77575369618026e-55	-0.899011593460775	1.50877888158184e-28	1.04111131325153e-25
AT2G34620	-0.239018984016367	1.09332365019921	1.33182635573485	4.49882177220508e-29	-1.03705021354423	0.295292399426821	1.33319746554374	1.94540774354275e-28	1.33319746554374	1.94540774354275e-28	1.2622740773216e-25
AT2G33800	-0.55351409613573	0.349084409374263	0.902315250239362	1.95995146833229e-28	0.094690993330746	0.997289535440519	0.902683016678544	4.21616740132151e-82	0.902315250239362	1.95995146833229e-28	1.2622740773216e-25
AT2G16920	0.102918678672166	-1.26613060835115	-1.3700866043763	3.41725333006986e-27	2.01369703770015	0.644647778973998	-1.36905559632897	1.50931133336429e-34	-1.3700866043763	3.41725333006986e-27	2.12983069646064e-24
AT3G27690	0.145616406235564	0.927688411299309	0.782005606558303	5.51461213062906e-27	0.346130047430661	1.12820208856838	0.78209641957633	2.15179966280708e-116	0.782005606558303	5.51461213062906e-27	3.32961940549638e-24
AT1G56330	-0.187159533971283	1.07825304054304	1.26514734610146	7.99126035628073e-27	1.12645655692599	2.39186915867427	1.26580050448808	2.7006189369394e-50	1.26514734610146	7.99126035628073e-27	4.6787618589e-24
AT4G24770	-0.307441279939059	0.419430315141615	0.726695948099732	1.15030057140608e-26	-0.011244128908412	0.715627490924177	0.726912956083145	1.76244690685836e-64	0.726695948099732	1.15030057140608e-26	6.53675215886381e-24
AT1G02500	0.291146886480157	-0.428645834097807	-0.720135674034803	2.83727144369326e-26	0.748072124822934	0.0282794360218164	-0.719802259257465	3.90466968737865e-53	-0.720135674034803	2.83727144369326e-26	1.56625490181707e-23
AT2G40000	-0.497864933048006	0.617685655462074	1.11485548611752	4.69507594055556e-26	-0.561781488188307	0.553769102373706	1.11579024550481	3.50560046919794e-30	1.11485548611752	4.69507594055556e-26	2.51982117354094e-23
AT3G02550	1.33893400229674	2.38245281016439	1.0431070094268	3.10918075882357e-25	-0.773303274889628	0.2702155297393	1.0441931225223	1.79852953719599e-27	1.0431070094268	3.10918075882357e-25	1.62358057949271e-22
AT1G36160	0.160048251235579	-0.614313313143063	-0.774831661622913	3.60853997489392e-25	0.418620289320416	-0.355741237396776	-0.774422032981781	3.74690243457678e-48	-0.774831661622913	3.60853997489392e-25	1.83475265407698e-22
AT5G67330	0.557934296657886	-0.426200940746455	-0.984863114654898	7.00043330487782e-25	1.27453442535853	0.290399214553536	-0.98413710198474	1.19153491942646e-32	-0.984863114654898	7.00043330487782e-25	3.46808645855242e-22
AT5G38430	-0.0460899928116884	0.768308309455724	0.814094225336034	8.25060128024447e-25	-2.20306764987444	-1.38866933827123	0.814537152722932	2.37308234329313e-30	0.814094225336034	8.25060128024447e-25	3.98524668339008e-22
AT5G38420	-0.46981366415009	0.567548774033775	1.03715968712491	1.30433552088556e-24	-2.1647805945172	-1.12741814799719	1.03766677840908	2.86873885697054e-25	1.03715968712491	1.30433552088556e-24	6.14660160951948e-22
AT3G04790	-0.330846060856514	0.579104599422636	0.909697088994063	1.59247041445352e-24	-0.0069219591296464	0.903028731487933	0.910211593262653	1.63354790145164e-49	0.909697088994063	1.59247041445352e-24	7.3257430661087e-22
AT4G30160	0.00698701483058914	-1.07036720976277	-1.07808761838578	5.08011065791849e-24	1.50590321103301	0.42854901637991	-1.0774894524933	7.36395696543399e-32	-1.07808761838578	5.08011065791849e-24	2.28262367492193e-21
AT4G27520	0.416062763138649	-0.40047508028375	-0.816871478224593	5.95304174013234e-24	0.44913817508056	-0.367399604634723	-0.816433721576206	6.555934322295e-72	-0.816871478224593	5.95304174013234e-24	2.61406180593402e-21
AT2G46820	-0.193604924574206	0.751375572737635	0.944887131080049	9.0600888757487e-24	0.107661132250026	1.05264168304221	0.94516056568649	2.34495439686867e-93	0.944887131080049	9.0600888757487e-24	3.88999949262979e-21
AT4G18480	-0.277760963601819	0.405219821030185	0.682837116219186	9.21158616518999e-23	0.233754276938726	0.916735090973087	0.683021916526796	7.98204239255244e-65	0.682837116219186	9.21158616518999e-23	3.86906644125295e-20
AT2G33450	-0.689500962943023	0.497521850166178	1.18659275070722	1.65066391429245e-22	-0.588789199161726	0.598233646022323	1.18746032699336	3.51710378554991e-35	1.18659275070722	1.65066391429245e-22	6.78563350809455e-20
AT5G25610	0.296818165630461	-0.320981279954638	-0.617911981436301	3.84254297432705e-22	2.50517495464354	1.88737555026584	-0.617796980185381	1.63400415598755e-115	-0.617911981436301	3.84254297432705e-22	1.54670360014527e-19
AT5G54960	0.872261857897104	-0.14450311338151	-1.01761436988376	6.6095520682716e-22	1.53640176485566	0.519636801634545	-1.0164497610853	2.98928553291534e-23	-1.01761436988376	6.6095520682716e-22	2.60618684716481e-19
AT3G25920	-0.31848034712114	0.452653868759383	0.770987690599932	7.49370516700181e-22	0.11256057953426	0.883694832275832	0.771228976541335	1.26054047611252e-63	0.770987690599932	7.49370516700181e-22	2.89571755063284e-19
AT3G08580	-0.104221296626486	0.535253436140668	0.639281397776364	1.53852271050654e-21	-0.753337595983483	-0.113862834429278	0.639478636946072	1.46089023833229e-56	0.639281397776364	1.53852271050654e-21	5.82858770386212e-19
AT1G77940	-0.415328369096541	0.818873044162423	1.23357131679177	1.66457364610267e-21	0.762068401014731	1.99626984307229	1.2346181522486	3.63521753178298e-36	1.23357131679177	1.66457364610267e-21	6.18485142622109e-19
AT1G56070	0.240932885270207	-0.393789863235954	-0.634896987232645	2.60061218028764e-21	1.20662488259383	0.571902188788154	-0.634784798219451	1.53095272377196e-125	-0.634896987232645	2.60061218028764e-21	9.48045810100706e-19
AT5G14320	-0.441521319146345	0.360056071356359	0.801454315574542	4.73988374762923e-21	0.396253438679522	1.19783086933255	0.801601959093439	6.24236016589447e-63	0.801454315574542	4.73988374762923e-21	1.69591284977675e-18
AT4G02530	-0.433155706842217	0.520915398241242	0.953830206711073	4.96365794782528e-21	1.59365790274603	2.54772904630842	0.95420045453129	1.8832292413651e-53	0.953830206711073	4.96365794782528e-21	1.74233537073478e-18
AT1G55490	-0.551259010845656	0.12120528426099	0.672167387641849	5.04998606496288e-21	-0.277975611802832	0.39448870665653	0.672469183677125	1.58423756663581e-40	0.672167387641849	5.04998606496288e-21	1.74233537073478e-18
AT3G14420	-0.0360363784421512	0.625386492533475	0.661243528123355	1.03985731350446e-20	-0.367255270204817	0.294167626099279	0.661478602878949	2.08078581112442e-46	0.661243528123355	1.03985731350446e-20	3.52475143056484e-18
AT1G42970	0.107724796781588	0.723001411618574	0.615077224829254	3.91328161013282e-20	-0.772787918254254	-0.15751127152123	0.615282286563502	3.04387323609331e-64	0.615077224829254	3.91328161013282e-20	1.30359506878235e-17
