Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT3G57540	0	2	0	0	0	0	0	0	0	0	0	0
AT3G27770	1	2	0	0	0	0	2	2	3	1	3	1
AT3G17640	0	0	0	0	0	0	1	0	1	0	0	0
AT3G53960	0	0	0	0	0	0	1	1	0	0	0	0
AT3G61770	0	0	0	0	0	0	0	1	0	1	0	0
AT3G02460	4	6	5	7	6	5	9	4	2	16	11	5
AT3G55240	0	2	1	1	0	3	0	0	0	1	0	0
AT3G06200	0	0	1	0	0	0	1	1	1	1	5	0
AT3G45590	0	0	0	0	1	0	0	2	1	0	0	0
AT3G60940	0	0	0	0	0	0	0	0	0	0	0	0
AT3G20870	1	1	11	10	5	10	7	12	4	7	10	6
AT3G03580	0	0	0	0	0	0	0	0	0	0	3	0
AT3G63088	0	0	0	0	0	0	0	0	0	0	0	4
AT3G57990	6	8	3	18	16	22	23	20	22	67	55	36
AT3G25520	37	50	67	114	112	106	215	240	176	502	593	386
AT3G46020	0	0	0	0	0	0	0	0	0	0	0	0
AT3G23490	4	4	3	13	6	12	16	13	7	50	49	35
AT3G09400	0	0	0	0	0	0	0	0	0	0	0	0
AT3G22960	1	4	0	20	14	20	12	8	4	16	24	17
AT3G10690	0	0	0	0	3	1	3	1	0	2	0	5
AT3G30305	0	0	0	1	0	2	0	0	0	0	0	0
AT3G48590	0	0	0	0	0	0	0	2	0	0	2	2
AT3G19240	1	0	0	1	0	0	0	0	0	0	0	1
AT3G18390	1	1	0	0	4	2	15	4	0	2	3	1
AT3G54050	4	1	0	5	3	3	6	4	4	18	19	11
AT3G54450	0	0	0	0	0	0	0	0	0	0	0	0
AT3G29770	0	0	0	0	0	0	0	0	0	0	1	0
AT3G61230	0	0	0	0	0	0	0	0	0	0	0	0
AT3G10650	0	0	1	2	0	4	4	3	2	2	2	3
AT3G06640	0	0	0	0	0	0	0	0	0	0	0	0
AT3G04070	0	0	0	0	0	0	1	0	0	0	0	1
AT3G23220	0	0	0	0	0	0	0	0	0	0	0	0
AT3G13200	4	1	5	16	9	10	13	12	3	17	15	8
AT3G07870	1	0	0	0	1	1	0	1	0	0	0	0
AT3G13920	24	21	40	58	52	42	129	107	104	183	197	95
AT3G59600	4	15	8	22	6	15	17	20	15	5	14	13
AT3G10930	26	25	14	14	12	20	51	51	67	132	111	79
AT3G28450	1	0	0	0	1	1	0	0	0	0	1	2
AT3G08900	0	0	0	0	0	0	0	0	0	0	0	0
AT3G61900	0	0	0	0	0	0	0	0	0	0	0	0
AT3G61470	38	42	44	158	118	120	100	75	62	162	173	137
AT3G12380	0	0	0	0	0	0	1	0	0	2	4	1
AT3G51325	0	0	0	0	0	0	4	0	0	0	0	2
AT3G49600	1	3	2	6	2	1	5	3	3	9	6	3
AT3G10500	6	8	7	17	15	12	9	15	13	10	29	17
AT3G18230	0	0	0	0	0	0	2	0	0	0	0	0
AT3G10080	0	0	0	0	0	0	2	3	0	0	1	0
AT3G45330	0	0	0	0	0	0	0	0	0	0	0	0
AT3G60850	0	2	0	0	5	0	4	0	2	0	1	2
AT3G25040	3	0	0	3	6	3	15	2	11	6	19	6
AT3G45620	0	0	0	0	0	0	0	0	0	0	0	2
AT3G46320	0	0	0	1	2	3	1	1	2	1	7	3
AT3G49645	1	0	0	2	1	1	2	1	2	8	14	9
AT3G22125	8	7	8	10	5	10	13	4	17	25	20	16
AT3G54350	2	4	1	5	1	4	9	7	0	9	19	9
AT3G13470	3	2	4	7	15	5	37	22	26	32	20	13
AT3G51820	11	25	22	29	29	38	37	38	37	28	26	35
AT3G03440	0	0	0	0	0	0	0	3	0	0	0	0
AT3G15140	0	0	1	0	0	0	0	0	0	1	0	0
AT3G12320	0	1	0	0	0	3	1	1	2	0	1	0
AT3G30530	0	0	0	1	0	0	0	0	0	0	0	0
AT3G58680	14	16	5	14	8	20	28	23	28	24	38	21
AT3G52660	2	2	3	3	1	8	4	2	1	7	8	8
AT3G52740	0	0	0	1	0	0	0	0	1	1	0	3
AT3G49601	0	1	2	0	1	1	0	0	3	3	7	2
AT3G60130	0	2	7	6	5	3	1	3	2	5	4	3
AT3G29680	0	0	0	0	0	0	0	1	0	0	0	0
AT3G46200	1	7	0	2	2	7	4	5	3	3	3	0
AT3G24180	1	1	8	2	6	3	9	2	4	8	5	9
AT3G04670	7	9	4	15	8	6	15	11	6	23	17	20
AT3G02690	0	0	0	1	0	1	3	0	0	0	0	0
AT3G17750	2	3	0	1	5	3	3	4	4	10	13	9
AT3G15534	0	0	0	0	0	0	0	0	0	0	0	0
AT3G24840	1	0	0	0	0	3	1	0	1	0	0	0
AT3G44740	0	0	0	0	0	0	0	3	0	0	0	0
AT3G02490	0	0	0	0	2	0	0	0	0	1	1	0
AT3G14340	0	0	0	0	0	0	0	0	0	0	0	0
AT3G46400	0	0	0	0	0	0	0	0	0	0	0	0
AT3G15790	0	3	4	2	9	10	1	2	5	8	8	4
AT3G15357	0	0	0	0	0	0	0	1	0	0	0	0
AT3G13674	0	0	0	0	0	0	0	0	0	1	0	0
AT3G23350	0	0	0	0	0	0	0	0	0	0	0	0
AT3G63450	1	5	8	5	9	3	16	15	6	14	9	7
AT3G48420	2	2	1	11	3	5	6	8	7	16	13	10
AT3G05727	0	0	0	0	0	0	0	0	0	0	0	0
AT3G09530	0	0	0	0	0	0	0	0	0	0	0	0
AT3G51950	3	6	3	4	8	7	10	6	4	17	16	9
AT3G19300	0	0	0	1	0	0	0	0	0	1	0	0
AT3G07160	0	0	0	1	0	0	0	0	0	0	0	0
AT3G19620	0	0	0	0	1	0	0	0	0	0	0	0
AT3G06020	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62930	0	0	0	0	0	0	0	0	0	0	0	0
AT3G01710	0	0	0	0	0	0	0	0	0	0	0	0
AT3G49350	4	2	3	6	0	0	6	3	3	2	6	2
AT3G01800	1	0	3	2	1	1	4	9	2	3	7	0
AT3G57000	3	2	0	2	2	1	3	3	7	14	13	19
AT3G58220	0	0	0	0	3	2	2	1	0	2	2	4
AT3G52570	0	0	0	0	0	0	0	2	2	0	1	0
AT3G09055	1	0	0	3	2	5	17	2	5	4	12	3
AT3G60110	1	2	0	1	1	1	3	0	0	1	4	4
AT3G51740	2	0	0	0	0	0	1	1	0	0	0	0
AT3G51390	1	1	0	4	2	1	4	0	2	4	2	2
AT3G61380	1	0	0	0	3	1	2	0	0	1	4	1
AT3G58940	0	0	0	0	0	0	0	1	0	4	0	0
AT3G02170	1	0	2	4	2	1	2	3	5	7	1	1
AT3G05500	1	0	1	2	0	0	2	0	0	1	1	4
AT3G58570	0	0	0	0	1	0	0	2	0	1	1	0
AT3G58790	0	2	0	3	0	1	2	0	1	1	3	1
AT3G60900	0	1	0	0	1	1	0	0	0	0	0	0
AT3G52620	0	0	0	0	0	0	0	0	0	0	0	0
AT3G05870	0	0	4	0	2	1	3	1	0	5	4	2
AT3G18670	0	0	0	0	0	0	0	1	0	0	0	0
AT3G04770	0	0	0	0	0	0	1	4	10	2	21	2
AT3G03776	0	0	0	0	0	0	0	0	0	0	0	0
AT3G26855	0	0	0	0	0	0	0	0	0	0	0	0
AT3G47730	4	4	1	2	2	4	4	0	2	2	0	1
AT3G44630	1	0	8	1	1	2	0	4	4	0	1	0
AT3G27580	0	0	0	1	1	1	0	0	0	0	0	0
AT3G06270	3	0	1	4	3	2	6	1	4	3	2	0
AT3G17120	3	4	4	1	8	10	4	7	4	18	24	7
AT3G21770	1	5	5	13	6	6	19	19	15	35	46	24
AT3G24050	1	1	0	0	2	1	0	3	1	3	0	1
AT3G43960	2	0	0	1	0	5	0	0	0	10	0	0
AT3G53400	4	1	4	10	13	14	7	4	2	13	27	11
AT3G59700	0	0	0	0	0	0	0	0	0	0	0	0
AT3G26830	0	0	0	0	0	1	0	0	0	1	0	0
AT3G50570	0	1	0	3	4	0	0	4	3	4	3	2
AT3G23930	1	0	0	0	1	0	2	0	2	1	5	1
AT3G52790	4	0	0	2	0	1	0	2	0	0	0	0
AT3G53020	33	33	29	74	44	67	137	125	89	415	445	293
AT3G55530	0	0	1	3	1	4	0	0	0	3	10	5
AT3G02070	0	1	0	0	0	0	0	0	0	0	0	0
AT3G29152	0	0	0	0	0	0	0	0	0	0	0	0
AT3G23300	9	15	8	27	28	14	36	46	26	174	190	123
AT3G22300	0	0	1	0	2	1	3	1	1	1	0	4
AT3G55640	2	3	7	7	11	7	5	5	1	13	24	10
AT3G18060	2	4	0	6	2	3	7	6	3	6	6	3
AT3G54170	0	0	0	1	0	0	0	0	0	0	0	1
AT3G20450	1	0	1	1	0	3	0	0	2	0	0	0
AT3G49320	0	0	0	0	0	0	1	0	1	0	0	0
AT3G51650	2	0	3	0	2	1	2	2	0	3	9	1
AT3G54130	1	2	2	1	2	2	1	4	0	2	1	3
AT3G47910	4	7	10	12	18	23	18	20	14	47	59	19
AT3G22700	0	0	0	0	0	0	0	0	0	0	0	0
AT3G08670	4	0	0	0	0	1	2	1	0	0	1	1
AT3G19310	0	0	0	0	0	0	0	0	0	0	0	0
AT3G26410	0	2	4	1	0	5	4	3	6	2	1	1
AT3G04170	0	0	0	0	0	0	0	0	0	0	0	0
AT3G09810	0	2	0	4	7	5	1	3	2	2	8	1
AT3G53980	0	1	3	0	4	1	0	0	0	0	0	0
AT3G08910	0	1	0	5	3	2	6	1	12	22	22	9
AT3G53870	8	12	14	15	25	10	39	35	37	55	48	35
AT3G01560	11	7	2	14	17	13	19	14	15	30	19	16
AT3G60460	0	0	0	0	0	0	0	0	0	0	0	0
AT3G04880	0	0	0	2	1	2	2	0	0	0	3	0
AT3G51895	0	0	0	0	0	0	1	0	0	1	0	1
AT3G60360	2	0	0	0	1	3	4	0	3	3	5	0
