Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT1G13590	3	2	5	2	8	6	15	7	3	9	32	8
AT1G22610	79	57	86	119	112	149	225	173	191	289	370	272
AT1G75110	0	0	2	4	3	2	7	4	0	3	5	8
AT1G73110	61	84	70	156	159	177	244	185	184	320	335	235
AT1G36756	0	0	0	0	0	0	0	0	0	0	0	0
AT1G20370	21	14	15	34	31	46	101	62	68	99	158	85
AT1G55510	23	21	24	36	33	43	48	30	33	54	71	39
AT1G77170	11	16	7	9	15	13	18	17	7	35	27	30
AT1G70660	6	6	3	14	13	16	10	11	8	29	29	30
AT1G51480	0	0	0	0	0	0	1	0	0	0	0	2
AT1G59359	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26921	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75870	0	0	0	0	0	0	0	0	0	1	3	0
AT1G75335	4	4	5	6	4	2	12	8	14	27	31	19
AT1G22830	0	0	1	6	0	1	0	0	0	1	4	0
AT1G09630	18	26	24	43	34	40	70	80	47	50	88	59
AT1G17280	27	37	62	101	67	77	86	62	69	146	200	126
AT1G02750	10	8	15	33	17	13	37	25	17	31	26	36
AT1G61070	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15385	3	0	2	6	7	15	4	6	6	4	10	9
AT1G12855	20	18	27	15	7	7	9	5	21	7	8	14
AT1G03520	4	8	7	15	19	8	9	4	3	30	38	10
AT1G67880	9	12	15	31	18	19	35	32	34	56	64	64
AT1G36580	0	0	0	0	0	0	0	0	0	1	0	0
AT1G74190	0	0	0	0	0	0	1	1	2	0	0	0
AT1G14590	2	2	4	6	5	1	5	2	3	12	10	10
AT1G80625	0	0	0	0	0	0	0	1	0	0	0	0
AT1G08300	1	6	3	2	4	1	9	12	10	7	15	6
AT1G07020	3	4	10	13	17	20	18	14	16	19	27	33
AT1G59760	27	29	44	61	38	68	127	91	101	182	204	123
AT1G72570	1	0	3	0	1	1	1	0	4	3	0	0
AT1G01360	7	9	5	12	15	26	20	19	25	35	42	33
AT1G70400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G52690	1036	1251	1342	2497	2298	2336	30	11	21	38	58	42
AT1G78750	0	0	0	2	2	1	3	2	2	7	2	1
AT1G15720	4	0	3	1	4	2	2	1	0	1	5	7
AT1G14850	59	66	75	107	102	118	231	198	155	267	284	158
AT1G70470	1	6	1	0	0	1	10	3	6	11	16	2
AT1G11820	4	5	6	13	2	13	31	23	15	45	46	23
AT1G80700	0	0	0	0	0	0	0	1	1	0	0	0
AT1G60783	0	0	0	0	0	0	0	0	0	0	0	2
AT1G25230	160	200	212	352	383	364	393	310	253	687	781	514
AT1G43900	11	22	31	40	33	26	47	32	50	92	71	53
AT1G67840	36	42	24	58	80	53	70	37	35	47	78	39
AT1G64660	118	162	181	327	326	360	138	118	70	175	206	129
AT1G07690	0	0	3	0	3	0	3	4	0	4	4	1
AT1G47920	0	0	0	0	0	0	0	0	1	0	0	0
AT1G23680	1	1	0	3	2	1	0	0	0	0	0	2
AT1G18450	33	30	38	67	49	56	100	116	111	166	233	119
AT1G17960	0	3	1	2	1	3	4	0	0	2	4	4
AT1G55930	15	18	45	32	29	47	65	64	50	93	125	95
AT1G61400	0	0	0	0	0	0	0	1	2	1	0	7
AT1G03080	95	147	122	187	182	218	230	200	174	394	533	324
AT1G56660	57	66	72	94	74	84	129	81	78	225	306	169
AT1G24130	0	7	2	11	7	5	6	5	10	12	19	11
AT1G54960	1	7	5	10	6	11	13	13	6	12	16	16
AT1G48350	508	618	695	906	920	997	1912	1672	1452	2106	2294	1564
AT1G80330	2	1	0	0	0	0	4	3	0	0	0	1
AT1G14440	37	40	45	62	75	58	133	115	114	175	210	123
AT1G65620	8	15	7	3	15	3	34	20	12	33	15	12
AT1G11620	0	1	0	2	0	0	0	0	0	0	0	0
AT1G69490	9	4	5	25	21	37	5	5	1	4	12	13
AT1G78990	1	10	17	6	12	9	6	6	4	5	9	6
AT1G29100	0	2	0	0	0	0	0	3	0	0	0	1
AT1G52315	0	1	5	3	3	0	2	3	4	6	9	9
AT1G70100	17	29	32	63	45	62	56	78	72	142	124	116
AT1G61480	0	0	0	1	0	0	0	0	0	0	0	1
AT1G35220	23	22	26	41	50	58	51	62	46	94	87	72
AT1G27510	41	74	53	132	145	138	215	201	175	318	445	248
AT1G65780	0	0	0	0	0	0	0	0	1	3	1	0
AT1G69010	12	12	22	30	35	31	42	24	38	36	55	39
AT1G30870	136	150	153	208	189	217	286	227	246	460	545	349
AT1G56710	0	0	0	0	0	0	0	1	0	0	0	2
AT1G05800	0	0	0	0	0	0	3	0	0	0	1	0
AT1G63350	0	0	2	0	3	0	3	1	3	0	0	1
AT1G34827	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03055	5	5	3	21	10	17	18	14	8	16	25	11
AT1G01160	44	41	41	61	63	80	105	69	87	179	168	119
AT1G47340	2	7	13	9	8	8	16	12	9	9	24	19
AT1G11170	3	0	2	10	8	9	4	4	4	5	16	8
AT1G62045	8	5	7	14	17	18	20	19	12	27	36	24
AT1G35467	0	0	0	2	0	0	0	0	0	0	0	0
AT1G69970	0	2	3	1	0	0	3	3	2	3	4	6
AT1G43145	0	0	0	0	0	0	0	3	0	2	0	0
AT1G20132	1	0	0	0	0	0	0	0	0	0	0	0
AT1G70210	6	5	5	5	3	7	14	16	8	17	27	12
AT1G49880	5	8	5	13	19	20	11	10	16	11	21	19
AT1G27060	0	3	1	2	1	1	11	7	0	23	8	11
AT1G30757	0	0	0	0	0	0	1	0	1	1	0	0
AT1G30690	156	242	237	353	329	341	732	672	630	1297	1546	965
AT1G43760	0	0	0	0	0	0	1	2	0	0	2	1
AT1G35680	346	447	486	755	733	764	1436	1149	1142	1252	1491	955
AT1G61550	0	0	0	0	0	0	0	0	1	1	0	0
AT1G36745	0	0	0	0	0	0	0	0	0	0	0	0
AT1G58120	0	0	0	0	1	0	0	0	0	0	0	0
AT1G69090	3	4	17	31	23	39	26	30	30	65	76	47
AT1G27870	0	0	0	1	0	0	0	0	0	0	0	0
AT1G63710	0	0	1	0	0	1	2	0	0	1	0	1
AT1G03103	0	0	0	0	0	0	1	0	2	0	0	0
