Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT5G63010	4	1	5	9	2	4	4	9	13	7	14	6
AT5G05040	0	0	2	0	0	0	0	0	0	0	0	0
AT5G52160	0	0	0	0	0	0	0	0	0	0	0	0
AT5G36960	0	0	0	0	0	0	1	1	0	0	0	0
AT5G43120	0	0	0	0	0	0	0	0	0	0	0	0
AT5G57040	13	34	11	53	52	34	11	23	14	18	27	21
AT5G02880	25	28	28	24	38	44	26	36	42	21	34	29
AT5G28680	0	0	0	0	0	0	0	0	0	0	0	0
AT5G35940	6	13	10	17	20	25	10	12	23	14	19	35
AT5G18920	7	5	8	18	6	16	26	21	18	7	29	16
AT5G63520	3	10	1	5	7	2	3	4	1	0	6	2
AT5G66880	32	55	46	37	35	43	33	35	23	30	38	41
AT5G48450	4	17	20	14	18	14	21	34	40	14	22	11
AT5G14930	38	46	36	63	35	44	39	38	51	36	37	22
AT5G06630	3	23	7	14	14	20	28	21	41	23	34	26
AT5G63040	0	3	1	5	2	1	0	7	6	0	1	2
AT5G23840	24	15	16	26	23	19	53	34	53	21	37	38
AT5G06660	25	63	37	83	63	63	59	68	70	39	72	38
AT5G13430	140	235	124	156	173	176	232	236	249	141	224	125
AT5G19590	16	18	16	24	13	16	19	19	17	3	26	14
AT5G19890	0	0	3	1	2	2	21	13	28	21	27	25
AT5G42610	0	0	0	0	0	0	0	0	0	0	0	0
AT5G56160	6	5	11	18	6	6	5	4	10	7	3	6
AT5G56000	21	37	10	16	22	26	42	45	36	20	27	22
AT5G46290	302	395	377	319	313	258	415	514	511	314	413	432
AT5G45390	523	1184	799	1057	1015	919	1101	1070	1137	627	1113	924
AT5G37830	38	93	100	74	75	79	113	91	89	63	98	72
AT5G61980	4	3	5	12	4	4	8	6	7	11	11	3
AT5G27720	42	52	41	85	43	53	72	82	76	43	69	68
AT5G57840	4	0	7	0	5	2	2	0	6	5	0	3
AT5G65660	20	34	31	65	81	49	58	43	49	24	73	50
AT5G02530	35	105	49	107	85	98	110	131	143	72	149	133
AT5G61830	1	11	3	14	8	4	8	21	12	3	21	9
AT5G18930	9	10	6	13	8	13	15	13	14	17	13	9
AT5G67580	29	53	39	58	55	48	66	70	56	33	46	40
AT5G66055	144	158	153	156	155	109	210	184	226	120	193	164
AT5G44620	0	0	0	0	0	0	0	0	0	0	0	0
AT5G18790	12	23	20	18	22	4	30	29	40	4	31	35
AT5G41100	7	7	5	6	15	5	7	12	9	8	7	13
AT5G48620	41	90	51	105	78	96	95	71	75	53	108	85
AT5G59940	0	0	0	1	0	0	0	0	1	0	1	0
AT5G65280	8	12	11	5	4	9	9	16	5	3	10	5
AT5G08680	162	325	256	315	267	275	313	287	322	200	331	350
AT5G53230	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40010	0	3	0	0	1	0	1	1	0	2	0	0
