gene	Mock.Col0.rna	ABA.Col0.rna	Mock.g7g8.rna	ABA.g7g8.rna	Mock_Col0.ribo	ABA_Col0.ribo	Mock_g7g8.ribo	ABA_g7g8.ribo
AT1G08410	17.0647245	8.134986212	12.32966403	8.804648173	18.51342861	10.72824045	13.99284633	6.935356722
AT1G11530	3.850179741	4.163569382	4.146625534	5.258601409	6.168120913	6.290199505	5.918475931	11.81933852
AT1G75130	13.73335982	10.07620994	11.56530002	11.57064636	5.9243734	7.120844523	6.25367216	6.053297011
AT1G22550	19.88890605	13.14801004	18.26848409	12.40745992	20.55468572	13.83205791	23.31717669	13.16625993
AT1G73190	0.790536794	7.328769529	0.97014877	4.406740929	0.588812583	3.370365195	0.540065867	2.517139194
AT1G54095	0.735164364	0.647490241	0.520625157	0.415720329	0.306929862	0	0.506698129	0
AT1G31120	8.146007153	6.615333821	6.329810119	7.033678047	3.719218983	2.795342451	4.209846347	2.984594162
AT1G03150	4.72685105	3.972481482	3.324514145	3.299535636	25.26540259	24.95469702	30.49963941	26.34572491
AT1G27980	12.88039306	10.83761299	14.93262577	13.0092233	14.1400921	14.33820022	16.59435869	14.23534962
AT1G52220	122.1779775	172.6436687	146.9264094	136.0889123	89.04616255	101.4764546	80.84584648	111.6318267
AT1G31960	0	0	0	0	0	0	0	0
AT1G56440	4.106308751	3.89910794	2.995659608	3.539640792	2.467106324	2.142720937	2.659232392	2.854551067
AT1G04540	1.268290711	1.485703753	1.295334504	1.402421009	0.040771942	0.170643097	0	0.279031527
AT1G80140	0	0	0	0	0	0	0	0
AT1G64280	11.49974356	12.01875269	11.1822161	12.65795882	2.380573853	1.596340083	2.947374431	2.009931454
AT1G22910	9.348094138	7.855144025	9.839495011	8.113161164	14.01127673	9.52726084	23.49917735	12.55516395
AT1G77850	3.897079189	4.052110351	3.41461113	3.513221371	3.432139974	2.395751803	2.524903241	3.916827948
AT1G35510	13.15865814	10.04127944	11.74820711	10.46823527	6.310776548	5.706697432	6.73813589	5.15129888
AT1G49510	23.71444991	15.4298196	22.16536492	17.07027846	4.909917182	1.814918806	3.679387948	2.649896887
