log2FC_TE_v1	pvalue_v1	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT1G75550	0.278169051078452	0.581610278907488	0.291023515701923	0.492605112913056	0.278169051078452	0.581610278907488	0.833916808392745
AT1G71890	-0.549412845732073	0.100702446914977	-0.542982933499264	0.0652970163060141	-0.549412845732073	0.100702446914977	0.349434095958782
AT1G05430	-0.0806380873799668	0.720152719834772	-0.0766013411174891	0.783493056512427	-0.0766013411174891	0.783493056512427	0.936611155314404
AT1G80870	-0.19565407248322	0.449245995320136	-0.192079910491777	0.541562210536079	-0.192079910491777	0.541562210536079	0.809081406576025
AT1G75310	-0.482140906196078	0.0179382800756759	-0.478896805704196	0.046673683788846	-0.478896805704196	0.046673683788846	0.216967139503817
AT1G02010	-0.966890407859179	0.212361672807191	-0.975568049770619	0.356277990435083	-0.975568049770619	0.356277990435083	0.672272759397942
AT1G47900	0.0268526895308712	0.877024628103257	0.0291787322625487	0.875071443812451	0.0268526895308712	0.877024628103257	0.971374024074924
AT1G26760	0.162191411884793	0.737500360542937	0.177861665208441	0.701819216946377	0.162191411884793	0.737500360542937	0.917297531066686
AT1G24575	-0.327897917183892	0.61785647051672	-0.304731002472545	0.664517007332652	-0.304731002472545	0.664517007332652	0.881208345386615
AT1G12790	1.49916993266961	0.0974994243745336	0.970891720546057	0.462829397613357	0.970891720546057	0.462829397613357	0.757595626981235
AT1G04850	-0.296689726022678	0.0227331122368559	-0.29608163443298	0.00512335141881065	-0.296689726022678	0.0227331122368559	0.137114051078939
AT1G31760	0.815897225750444	0.40838223432503	0.83947627458738	0.0909169884811184	0.815897225750444	0.40838223432503	0.717524795495387
AT1G33250	0.283632798807561	0.477873441996055	0.302047915310617	0.628406727421318	0.302047915310617	0.628406727421318	0.862307502860665
AT1G74000	-0.403358941255433	0.085079312633594	-0.401829183972734	0.0170729551181662	-0.403358941255433	0.085079312633594	0.31598746471373
AT1G55580	0.63179312461007	0.519052579639362	0.299625098949861	0.826520587954959	0.299625098949861	0.826520587954959	0.95241519595457
AT1G19715	-0.757769304104776	7.79231564265724e-05	-0.755195051258771	0.00166288372290098	-0.755195051258771	0.00166288372290098	0.0200592616923371
AT1G69430	0.179081912993157	0.801033193491696	-0.0671971200161678	0.974776187934343	-0.0671971200161678	0.974776187934343	0.999318247501304
