mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT5G13630	0.351993440187483	-0.288406182257063	-0.640523120922794	3.51694528500213e-28	0.594596880741395	-0.0458027002999611	-0.640482351926845	1.48819603958559e-147	-0.640523120922794	3.51694528500213e-28	2.38230597167523e-25
AT4G27520	0.43731210975709	1.36520406146581	0.927524906051358	5.73864941985513e-28	-0.456999373602804	0.470892618069092	0.927987214313115	1.43403760764837e-92	0.927524906051358	5.73864941985513e-28	3.75766764012114e-25
AT3G21720	0.131771094141935	-0.689993830013693	-0.82252990969859	9.06544190157931e-28	0.255753244245879	-0.566011648433811	-0.821913025104728	6.3862167476261e-48	-0.82252990969859	9.06544190157931e-28	5.744565829504e-25
AT2G33800	0.286520418079749	-0.482874061612043	-0.769893255777441	2.42017828993838e-26	0.885447891264625	0.116053455029142	-0.769409641839372	9.81656593323237e-73	-0.769893255777441	2.42017828993838e-26	1.48568694773592e-23
AT3G25920	0.156316612866635	-0.576189456803204	-0.732946701760439	7.32783744556695e-26	0.867343745354144	0.134837715243661	-0.732576807211433	2.98770131679894e-68	-0.732946701760439	7.32783744556695e-26	4.36206178123385e-23
AT3G61430	0.449089191894587	1.20178906272051	0.752450505279758	8.59192174564784e-26	0.527565985221214	1.28026588109725	0.752668906421756	4.29504135122407e-69	0.752450505279758	8.59192174564784e-26	4.96410914033842e-23
AT1G09070	-0.316579709490289	0.648008532714984	0.9638318444172	2.13517606635961e-25	-0.286642380117043	0.677945880864985	0.964638108766217	7.33303274791743e-36	0.9638318444172	2.13517606635961e-25	1.19838281850195e-22
AT5G50920	0.404904020905004	-0.163420841971108	-0.568396450573439	8.31958981742353e-25	1.21101315935072	0.642688329679099	-0.568330030155291	4.99549279126021e-113	-0.568396450573439	8.31958981742353e-25	4.53972284370744e-22
AT5G14320	0.239525620233116	-0.50829746569727	-0.748326050091023	2.59352498024891e-24	1.16649597715134	0.418672932354359	-0.747968277696399	2.2699775894654e-63	-0.748326050091023	2.59352498024891e-24	1.37695147870296e-21
AT3G27850	0.140810797204923	-0.805074944289038	-0.947006308820564	1.23859146868734e-23	-0.979723922638492	-1.92560963382334	-0.946326848759175	4.48017673086211e-29	-0.947006308820564	1.23859146868734e-23	6.40286600286685e-21
AT2G43030	0.0440315151148048	-0.641589573473614	-0.686212072001444	1.96633729359516e-23	0.683432357777221	-0.00218869800384996	-0.685779223414081	2.46259811642603e-50	-0.686212072001444	1.96633729359516e-23	9.90428969112391e-21
AT2G37170	-0.108636642585579	0.692171649253935	0.800293924305278	3.22630206438436e-23	0.0523816973711585	0.85319001812144	0.800803570321295	5.48898463121339e-50	0.800293924305278	3.22630206438436e-23	1.58443694381916e-20
AT4G30160	-0.0448591638532486	1.03259875409203	1.0769102165107	4.21775509353526e-23	0.450080252434438	1.52753819308479	1.07752577759945	9.19289297378204e-35	1.0769102165107	4.21775509353526e-23	2.02081905018065e-20
AT2G16920	-0.0976767282970911	1.2168281354575	1.31358027785141	5.67755242030828e-23	0.721355717504453	2.03586060827688	1.31455628477737	7.67372977165548e-36	1.31358027785141	5.67755242030828e-23	2.6554723748699e-20
AT5G14740	0.0561044960863903	-0.576370352638572	-0.632772697677848	8.77486992082836e-23	1.06348418711324	0.431009377087487	-0.632500878714242	4.70670447671169e-75	-0.632772697677848	8.77486992082836e-23	4.00868708662215e-20
AT3G53420	0.671203726729865	1.29291843534836	0.621631221702799	1.53144363910124e-21	1.17306613362219	1.79478086905055	0.621778031605982	4.22524298212102e-94	0.621631221702799	1.53144363910124e-21	6.79256306548136e-19
AT3G56940	0.346120184021932	-0.226037958095065	-0.572464326336424	1.55602391542792e-21	-0.388629845875298	-0.960787956077834	-0.572247156670124	8.93589297092542e-53	-0.572464326336424	1.55602391542792e-21	6.79256306548136e-19
AT5G66190	0.240484941903968	-0.34535735578203	-0.586172059306475	1.83154784561602e-21	1.35613582887197	0.770293565229911	-0.585854110252524	1.21071431748124e-72	-0.586172059306475	1.83154784561602e-21	7.82150562593068e-19
AT4G22212	-2.04722214733222	-0.414429156515544	1.63123075747637	2.10449113036494e-21	0.400924264108906	2.03371731550433	1.63223457135686	9.28796330947507e-37	1.63123075747637	2.10449113036494e-21	8.79587739678485e-19
AT3G13470	-0.766011643433871	-1.45946776041116	-0.694069227920118	3.0114191126873e-21	1.17247754018835	0.479021461045655	-0.69353961837077	1.1055078238871e-48	-0.694069227920118	3.0114191126873e-21	1.23242327186728e-18
AT1G32060	0.119849526923392	-0.49503101832913	-0.615406059126033	3.9167207740325e-21	-0.208474487490161	-0.823354998888338	-0.61500799954038	9.93265192265766e-47	-0.615406059126033	3.9167207740325e-21	1.57020536500193e-18
AT1G72520	-0.23722958135354	6.88934489394047	7.12600875219753	3.34179004128925e-20	0.209488734936319	7.33606267111232	7.12788578182509	8.80431700181885e-317	7.12600875219753	3.34179004128925e-20	1.31292247142172e-17
AT1G74970	0.307084141759419	-0.530753196625421	-0.838664799972717	7.79413007797858e-20	0.535422530709565	-0.302414757454673	-0.838153879805488	2.44457354565711e-31	-0.838664799972717	7.79413007797858e-20	3.0021155147414e-17
AT3G51630	0.385966235711443	3.31518835430887	2.92788913402082	7.83153375970849e-44	-3.70003615950178	-0.77081401760032	2.93494487439118	9.83408494245163e-20	2.93494487439118	9.83408494245163e-20	3.71501470402923e-17
AT1G07320	-0.114282992938411	-0.744793326848582	-0.630942655011391	1.22822165556249e-19	0.0341584897261327	-0.59635180711019	-0.630581389925598	7.8742424985221e-43	-0.630942655011391	1.22822165556249e-19	4.55229928337161e-17
AT5G23060	0.466993768028895	-0.421494616828417	-0.889573612200126	2.35685818311215e-19	-1.58253039763671	-2.4710187666211	-0.888876758812378	2.90905563971004e-19	-0.888876758812378	2.90905563971004e-19	1.05824979604563e-16
AT1G36160	0.372051849367416	1.02691585309074	0.654539639149794	2.28723253835335e-18	-0.21443680669882	0.4404272202766	0.6548324847708	2.80796941041144e-35	0.654539639149794	2.28723253835335e-18	8.16916290607514e-16
AT1G56340	-0.464101746650676	0.282151776635214	0.745948589911575	4.90433495889489e-18	1.17890617383341	1.92515973342515	0.746268241571631	6.68571820186981e-48	0.745948589911575	4.90433495889489e-18	1.72037064165234e-15
